Date,TimeGPT
2012-01-31,558.69140625
2012-02-29,531.37744140625
2012-03-31,456.8770446777344
2012-04-30,240.62815856933594
2012-05-31,325.55657958984375
2012-06-30,750.6243286132812
2012-07-31,1108.6123046875
2012-08-31,1135.44970703125
2012-09-30,1305.2235107421875
2012-10-31,625.8250122070312
2012-11-30,356.14447021484375
2012-12-31,400.38604736328125
2013-01-31,399.96875
2013-02-28,446.34735107421875
2013-03-31,342.9330749511719
2013-04-30,303.51800537109375
2013-05-31,467.0313720703125
2013-06-30,708.8948974609375
2013-07-31,1121.5146484375
2013-08-31,1234.020263671875
2013-09-30,1085.119140625
2013-10-31,526.65869140625
2013-11-30,350.90399169921875
2013-12-31,358.8303527832031
2014-01-31,370.38330078125
2014-02-28,345.3939208984375
2014-03-31,263.523193359375
2014-04-30,222.23165893554688
2014-05-31,361.7608642578125
2014-06-30,653.236572265625
2014-07-31,1040.984619140625
2014-08-31,1179.1334228515625
2014-09-30,826.8689575195312
2014-10-31,414.95184326171875
2014-11-30,267.977783203125
2014-12-31,302.8683166503906
2015-01-31,554.5555419921875
2015-02-28,561.5950927734375
2015-03-31,544.6062622070312
2015-04-30,493.7689514160156
2015-05-31,620.662353515625
2015-06-30,1087.7288818359375
2015-07-31,1567.197509765625
2015-08-31,1491.8197021484375
2015-09-30,1359.310302734375
2015-10-31,692.0087890625
2015-11-30,479.69610595703125
2015-12-31,547.6920166015625
2016-01-31,547.5807495117188
2016-02-29,629.6224365234375
2016-03-31,612.9481201171875
2016-04-30,499.47467041015625
2016-05-31,532.9278564453125
2016-06-30,802.30419921875
2016-07-31,1330.816162109375
2016-08-31,1288.481689453125
2016-09-30,1037.2442626953125
2016-10-31,500.07086181640625
2016-11-30,368.5125732421875
2016-12-31,386.7817077636719
2017-01-31,727.17626953125
2017-02-28,831.176025390625
2017-03-31,851.6842651367188
2017-04-30,760.8659057617188
2017-05-31,803.97802734375
2017-06-30,973.0199584960938
2017-07-31,1647.2265625
2017-08-31,1942.6719970703125
2017-09-30,1324.1788330078125
2017-10-31,927.7109985351562
2017-11-30,678.138671875
2017-12-31,588.3786010742188
2018-01-31,674.8072509765625
2018-02-28,579.53369140625
2018-03-31,476.51275634765625
2018-04-30,421.5604553222656
2018-05-31,522.398681640625
2018-06-30,739.5225830078125
2018-07-31,1200.2421875
2018-08-31,1297.33642578125
2018-09-30,1069.0196533203125
2018-10-31,816.2230224609375
2018-11-30,624.77294921875
2018-12-31,602.6380004882812
2019-01-31,671.1257934570312
2019-02-28,564.2202758789062
2019-03-31,508.87152099609375
2019-04-30,448.887451171875
2019-05-31,470.0075378417969
2019-06-30,838.4659423828125
2019-07-31,1508.1212158203125
2019-08-31,1705.3787841796875
2019-09-30,921.470947265625
2019-10-31,792.087158203125
2019-11-30,549.1165771484375
2019-12-31,689.8072509765625
2020-01-31,623.6083984375
2020-02-29,563.5913696289062
2020-03-31,538.4835815429688
2020-04-30,519.825439453125
2020-05-31,624.90625
2020-06-30,729.8482055664062
2020-07-31,1252.43359375
2020-08-31,1415.1168212890625
2020-09-30,1105.03662109375
2020-10-31,918.8545532226562
2020-11-30,615.0489501953125
2020-12-31,614.1446533203125
2021-01-31,417.93768310546875
2021-02-28,428.36187744140625
2021-03-31,385.4786682128906
2021-04-30,355.03179931640625
2021-05-31,531.779296875
2021-06-30,529.640625
2021-07-31,1121.009765625
2021-08-31,1312.24658203125
2021-09-30,1433.198486328125
2021-10-31,857.8187866210938
2021-11-30,452.6070556640625
2021-12-31,367.7747497558594
2022-01-31,523.3904418945312
2022-02-28,558.9251708984375
2022-03-31,592.7498779296875
2022-04-30,578.2164916992188
2022-05-31,668.8990478515625
2022-06-30,667.177001953125
2022-07-31,762.5584716796875
2022-08-31,740.04736328125
2022-09-30,751.555908203125
2022-10-31,666.10546875
2022-11-30,593.6158447265625
2022-12-31,522.7452392578125
