Date,TimeGPT
2011-12-31,369.35302734375
2012-01-31,581.58837890625
2012-02-29,523.114501953125
2012-03-31,489.35845947265625
2012-04-30,278.2643737792969
2012-05-31,313.8650817871094
2012-06-30,792.1983032226562
2012-07-31,1167.267822265625
2012-08-31,1211.94384765625
2012-09-30,1382.9793701171875
2012-10-31,585.9786376953125
2012-11-30,327.7763977050781
2012-12-31,369.1065673828125
2013-01-31,443.53546142578125
2013-02-28,423.11749267578125
2013-03-31,336.30316162109375
2013-04-30,284.3722229003906
2013-05-31,420.5089111328125
2013-06-30,708.5455322265625
2013-07-31,1110.7427978515625
2013-08-31,1283.543701171875
2013-09-30,1083.693359375
2013-10-31,482.62774658203125
2013-11-30,317.1754150390625
2013-12-31,217.75662231445312
2014-01-31,273.2342529296875
2014-02-28,246.83154296875
2014-03-31,196.09165954589844
2014-04-30,160.8390350341797
2014-05-31,296.0753479003906
2014-06-30,571.5567016601562
2014-07-31,915.1738891601562
2014-08-31,1092.0477294921875
2014-09-30,743.1907348632812
2014-10-31,303.5893249511719
2014-11-30,161.4557647705078
2014-12-31,566.5009765625
2015-01-31,601.19970703125
2015-02-28,548.2022705078125
2015-03-31,548.8992919921875
2015-04-30,480.7097473144531
2015-05-31,603.2396240234375
2015-06-30,1157.8428955078125
2015-07-31,1661.5675048828125
2015-08-31,1629.5743408203125
2015-09-30,1512.3587646484375
2015-10-31,705.4796752929688
2015-11-30,498.64434814453125
2015-12-31,559.395263671875
2016-01-31,698.0582885742188
2016-02-29,719.3944091796875
2016-03-31,710.4050903320312
2016-04-30,526.60009765625
2016-05-31,531.9677734375
2016-06-30,904.8847045898438
2016-07-31,1492.25
2016-08-31,1396.597412109375
2016-09-30,1118.7568359375
2016-10-31,532.660400390625
2016-11-30,442.1576232910156
2016-12-31,647.623291015625
2017-01-31,865.0724487304688
2017-02-28,921.1476440429688
2017-03-31,853.4620361328125
2017-04-30,740.6888427734375
2017-05-31,830.12060546875
2017-06-30,977.8938598632812
2017-07-31,1609.0888671875
2017-08-31,1879.6025390625
2017-09-30,1357.9754638671875
2017-10-31,902.5377197265625
2017-11-30,689.27392578125
2017-12-31,438.5545959472656
2018-01-31,502.9456787109375
2018-02-28,460.500732421875
2018-03-31,420.621826171875
2018-04-30,377.87127685546875
2018-05-31,473.1612548828125
2018-06-30,670.048583984375
2018-07-31,1008.802001953125
2018-08-31,1172.968994140625
2018-09-30,967.7852783203125
2018-10-31,689.611328125
2018-11-30,493.56781005859375
2018-12-31,535.4925537109375
2019-01-31,572.6272583007812
2019-02-28,385.3542175292969
2019-03-31,372.479248046875
2019-04-30,353.18402099609375
2019-05-31,378.90118408203125
2019-06-30,755.0177001953125
2019-07-31,1422.4622802734375
2019-08-31,1686.0869140625
2019-09-30,934.8057250976562
2019-10-31,717.2615966796875
2019-11-30,474.64093017578125
2019-12-31,673.52490234375
2020-01-31,707.7396850585938
2020-02-29,618.7056884765625
2020-03-31,563.6386108398438
2020-04-30,534.5966796875
2020-05-31,676.5845947265625
2020-06-30,795.5712890625
2020-07-31,1267.643310546875
2020-08-31,1467.038818359375
2020-09-30,1176.930908203125
2020-10-31,912.759033203125
2020-11-30,661.4774169921875
2020-12-31,560.76904296875
2021-01-31,532.958984375
2021-02-28,482.3769226074219
2021-03-31,476.3934631347656
2021-04-30,419.70233154296875
2021-05-31,587.8220825195312
2021-06-30,561.6146240234375
2021-07-31,1202.207275390625
2021-08-31,1442.05224609375
2021-09-30,1583.9085693359375
2021-10-31,933.8018188476562
2021-11-30,537.7715454101562
2021-12-31,775.12158203125
2022-01-31,754.319091796875
2022-02-28,734.785400390625
2022-03-31,732.5164794921875
2022-04-30,695.4217529296875
2022-05-31,794.6583251953125
2022-06-30,810.9896850585938
2022-07-31,872.856201171875
2022-08-31,863.6082153320312
2022-09-30,882.0501098632812
2022-10-31,783.0591430664062
2022-11-30,757.359130859375
2022-12-31,344.4734191894531
2023-01-31,407.25537109375
2023-02-28,409.0411376953125
2023-03-31,447.6029052734375
2023-04-30,444.6310729980469
2023-05-31,530.6345825195312
2023-06-30,706.2545776367188
2023-07-31,754.7103271484375
2023-08-31,761.2882080078125
2023-09-30,647.604248046875
2023-10-31,556.17724609375
2023-11-30,455.2554626464844
2023-12-31,562.3553466796875
2024-01-31,602.1210327148438
2024-02-29,597.9202270507812
2024-03-31,529.268798828125
2024-04-30,497.7321472167969
2024-05-31,608.7372436523438
2024-06-30,917.2909545898438
2024-07-31,1406.1944580078125
2024-08-31,1668.5142822265625
2024-09-30,1515.8062744140625
2024-10-31,976.82568359375
2024-11-30,599.3389892578125
