Date,TimeGPT
2012-01-31,579.7677001953125
2012-02-29,534.20849609375
2012-03-31,497.15704345703125
2012-04-30,298.31787109375
2012-05-31,345.4718933105469
2012-06-30,814.2155151367188
2012-07-31,1193.991943359375
2012-08-31,1263.958251953125
2012-09-30,1382.083740234375
2012-10-31,646.5731811523438
2012-11-30,378.63775634765625
2012-12-31,461.154296875
2013-01-31,600.091552734375
2013-02-28,579.489013671875
2013-03-31,502.7277526855469
2013-04-30,306.28363037109375
2013-05-31,333.14324951171875
2013-06-30,778.2850952148438
2013-07-31,1150.2747802734375
2013-08-31,1186.668212890625
2013-09-30,1273.8502197265625
2013-10-31,581.4051513671875
2013-11-30,341.0668029785156
2013-12-31,411.9029235839844
2014-01-31,337.945068359375
2014-02-28,346.14501953125
2014-03-31,278.328857421875
2014-04-30,249.1181640625
2014-05-31,384.2506103515625
2014-06-30,726.911376953125
2014-07-31,1114.8310546875
2014-08-31,1366.537109375
2014-09-30,926.3574829101562
2014-10-31,417.3683776855469
2014-11-30,233.35232543945312
2014-12-31,295.9932861328125
2015-01-31,350.280517578125
2015-02-28,348.1141357421875
2015-03-31,269.1370849609375
2015-04-30,269.72259521484375
2015-05-31,393.5740051269531
2015-06-30,696.949462890625
2015-07-31,1101.7515869140625
2015-08-31,1295.0662841796875
2015-09-30,899.0783081054688
2015-10-31,398.3859558105469
2015-11-30,216.3055877685547
2015-12-31,291.41802978515625
2016-01-31,544.4603271484375
2016-02-29,638.7296142578125
2016-03-31,586.4515380859375
2016-04-30,430.3074035644531
2016-05-31,493.9618225097656
2016-06-30,817.848876953125
2016-07-31,1433.6099853515625
2016-08-31,1461.0938720703125
2016-09-30,1173.28271484375
2016-10-31,495.05120849609375
2016-11-30,355.8990173339844
2016-12-31,363.7930908203125
2017-01-31,558.1138916015625
2017-02-28,643.485595703125
2017-03-31,584.9178466796875
2017-04-30,455.37457275390625
2017-05-31,517.03515625
2017-06-30,816.79150390625
2017-07-31,1395.6138916015625
2017-08-31,1428.6002197265625
2017-09-30,1151.3466796875
2017-10-31,510.7204895019531
2017-11-30,351.212646484375
2017-12-31,353.85662841796875
2018-01-31,624.055908203125
2018-02-28,552.686279296875
2018-03-31,489.45318603515625
2018-04-30,467.11212158203125
2018-05-31,572.9359130859375
2018-06-30,778.9181518554688
2018-07-31,1192.5269775390625
2018-08-31,1437.0123291015625
2018-09-30,1138.2080078125
2018-10-31,841.8938598632812
2018-11-30,633.5438842773438
2018-12-31,620.6260986328125
2019-01-31,615.523681640625
2019-02-28,553.8587646484375
2019-03-31,474.42401123046875
2019-04-30,473.87127685546875
2019-05-31,567.2362670898438
2019-06-30,756.0852661132812
2019-07-31,1160.781982421875
2019-08-31,1378.7799072265625
2019-09-30,1125.8648681640625
2019-10-31,829.5231323242188
2019-11-30,647.90576171875
2019-12-31,627.2548828125
2020-01-31,612.80908203125
2020-02-29,553.645751953125
2020-03-31,541.651123046875
2020-04-30,500.92108154296875
2020-05-31,614.9176635742188
2020-06-30,748.1948852539062
2020-07-31,1241.0811767578125
2020-08-31,1487.0970458984375
2020-09-30,1138.755859375
2020-10-31,938.0411987304688
2020-11-30,627.4883422851562
2020-12-31,661.6038818359375
2021-01-31,704.4732666015625
2021-02-28,619.4144287109375
2021-03-31,576.7387084960938
2021-04-30,545.4232177734375
2021-05-31,600.763671875
2021-06-30,743.3448486328125
2021-07-31,1180.4298095703125
2021-08-31,1361.32568359375
2021-09-30,1071.251220703125
2021-10-31,861.7896118164062
2021-11-30,625.3893432617188
2021-12-31,652.6990966796875
2022-01-31,510.13336181640625
2022-02-28,540.8534545898438
2022-03-31,559.397216796875
2022-04-30,552.92578125
2022-05-31,653.0745849609375
2022-06-30,658.2869873046875
2022-07-31,733.199462890625
2022-08-31,739.4373779296875
2022-09-30,777.0145263671875
2022-10-31,662.05517578125
2022-11-30,595.0562744140625
2022-12-31,522.6270751953125
